Action & Adventure,1
Drama,2
Comedy,3
Romance,4
Mystery & Suspense,5
Animation,6
Kids & Family,7
Science Fiction & Fantasy,8
Art House & International,9
Special Interest,10
Musical & Performing Arts,11
Horror,12
Western,13
Documentary,14
Television,15
Sports & Fitness,16
Gay & Lesbian,17
Cult Movies,18
Classics,19
Faith & Spirituality,20
Anime & Manga,21
