170,Joe Cornish,Not Available
171,Joe Talbot,Not Available
172,Joe Wright,Not Available
173,Joel Coen,Not Available
174,John Carroll Lynch,Not Available
175,John Krasinski,Not Available
176,Jon M. Chu,Not Available
177,Jon S. Baird,Not Available
178,Jon Watts,Not Available
179,Jon Watts,10.Mar.89
180,Jonathan Dayton,Not Available
181,Jonathan Olshefski,Not Available
182,Jordan Peele,14.Sep.71
183,Jordana Spiro,Not Available
184,Josephine Decker,Not Available
185,Josh Cooley,14.Sep.73
186,Josh Safdie,Not Available
187,Joshua Z. Weinstein,Not Available
188,JR,Not Available
189,Juho Kuosmanen,Not Available
190,Julia Ducournau,Not Available
191,Julia Reichert,Not Available
192,Julius Onah,Not Available
193,Justin Benson,6.Nov.82
194,Justin Chon,Not Available
195,Justin Kurzel,Not Available
196,Kantemir Balagov,Not Available
197,Kasper Collin,Not Available
198,Kathryn Bigelow,Not Available
199,Kelly Reichardt,Not Available
200,Ken Loach,Not Available
201,Ken Loach,Not Available
202,Kimberly Reed,6.Nov.77
203,Kirby Dick,Not Available
204,Kirill Sokolov,Not Available
205,Kitty Green,Not Available
206,Kleber Mendon\xe7a Filho,Not Available
207,Kogonada,Not Available
208,Kris Pearn,Not Available
209,L\xe9onor Serraille,Not Available
210,Ladj Ly,Not Available
211,Lana Wilson,Not Available
212,Laure de Clermont-Tonnerre,Not Available
213,Lauren Greenfield,Not Available
214,Lee Unkrich,Not Available
215,Leigh Whannell,Not Available
216,Levan Akin,Not Available
217,Lila Avil\xe9s,Not Available
218,Lisa Barros D'Sa,Not Available
219,Liz Garbus,Not Available
220,Ljubomir Stefanov,Not Available
221,Lone Scherfig,Not Available
222,Lorcan Finnegan,Not Available
223,Lorene Scafaria,Not Available
224,Luca Guadagnino,Not Available
225,Lucrecia Martel,Not Available
226,Luke Lorentzen,Not Available
227,Lulu Wang,10.Mar.85
228,Lynne Ramsay,Not Available
229,Madeleine Parry,Not Available
230,Makoto Shinkai,Not Available
231,Makoto Shinkai,Not Available
232,Malcolm D. Lee,Not Available
233,Malgorzata Szumowska,Not Available
234,Marc Meyers,Not Available
235,Marc Meyers,Not Available
236,Marcelo Martinessi,Not Available
237,Marco Bellocchio,Not Available
238,Marco Dutra,6.Nov.88
239,Marielle Heller,10.Mar.87
240,Martha Stephens,Not Available
241,Martin McDonagh,Not Available
242,Martin Scorsese,14.Sep.74
243,Martin Zandvliet,Not Available
244,Mati Diop,Not Available
245,Matt Bettinelli-Olpin,Not Available
246,Matt Ratner,Not Available
247,Matt Reeves,Not Available
248,Matt Tyrnauer,Not Available
249,Matt Wolf,Not Available
250,Matthew Heineman,Not Available
251,Matthew Pope,Not Available
252,Max Lewkowicz,Not Available
253,Maysaloun Hamoud,Not Available
254,Micha\xebl Dudok De Wit,Not Available
255,Michael Apted,Not Available
256,Michael Fimognari,Not Available
257,Michael Pearce,6.Nov.74
258,Michael Showalter,Not Available
259,Michael Winterbottom,Not Available
260,Michal Aviad,Not Available
261,Midge Costin,Not Available
262,Mike Ahern,Not Available
263,Mike Mills,Not Available
264,Mike Mitchell,Not Available
265,Mirrah Foulkes,Not Available
266,Morgan Neville,Not Available
267,Mouly Surya,Not Available
268,Nadia Hallgren,Not Available
269,Nadine Labaki,6.Nov.84
270,Nanfu Wang,Not Available
271,Neasa Hardiman,Not Available
272,Nia DaCosta,Not Available
273,Nicole Newnham,Not Available
274,Nisha Ganatra,Not Available
275,NULL,NULL
276,Noah Baumbach,Not Available
277,Noah Baumbach,10.Mar.86
278,Nora Twomey,Not Available
279,Ofir Raul Graizer,Not Available
280,Olivia Wilde,10.Mar.84
281,Oz Perkins,Not Available
282,Paddy Breathnach,Not Available
283,Pamela B. Green,Not Available
284,Panos Cosmatos,Not Available
285,Patty Jenkins,Not Available
286,Paul Dano,Not Available
287,Paul King (VII),Not Available
288,Paul Schrader,Not Available
289,Paul Thomas Anderson,Not Available
