MID,Rating,Score,Title,Director,Runtime,
20170092,92,94%,Icarus (2017),Bryan Fogel,110,
20170093,93,94%,All This Panic (2017),Jenny Gage,79,
20170094,94,89%,Maudie (2017),Aisling Walsh,115,
20170095,95,91%,Land of Mine (Under Sandet) (2017),Martin Zandvliet,110,
20170096,96,91%,The Other Side of Hope (Toivon tuolla puolen) (2017),Aki Kaurism\xe4ki,98,
20170097,97,93%,Endless Poetry (Poes\xeda Sin Fin) (2017),Alejandro Jodorowsky,128,
20170098,98,83%,Silence (2017),Martin Scorsese,161,
20170099,99,93%,Obit (2017),Vanessa Gould,93,
20170100,100,91%,Brawl in Cell Block 99 (2017),S. Craig Zahler,132,
20180001,1,97%,Black Panther (2018),Ryan Coogler,135,
20180002,2,97%,Mission: Impossible - Fallout (2018),Christopher McQuarrie,147,
20180003,3,96%,BlacKkKlansman (2018),Spike Lee,135,
20180004,4,97%,Spider-Man: Into the Spider-Verse (2018),Bob Persichetti; Peter Ramsey; Rodney Rothman,100,
20180005,5,90%,A Star Is Born (2018),Bradley Cooper,135,
20180006,6,99%,Eighth Grade (2018),Bo Burnham,94,
20180007,7,95%,Roma (2018),Alfonso Cuar\xf3n,135,
20180008,8,95%,A Quiet Place (2018),John Krasinski,90,
20180009,9,98%,Can You Ever Forgive Me? (2018),Marielle Heller,107,
20180010,10,94%,Incredibles 2 (2018),Brad Bird,118,
20180011,11,95%,Call Me by Your Name (2018),Luca Guadagnino,130,
20180012,12,93%,The Favourite (2018),Yorgos Lanthimos,119,
20180013,13,100%,Paddington 2 (2018),Paul King (VII),105,
20180014,14,100%,Leave No Trace (2018),Debra Granik,109,
20180015,15,91%,Widows (2018),Steve McQueen (III),128,
20180016,16,98%,Won't You Be My Neighbor? (2018),Morgan Neville,94,
20180017,17,99%,Shoplifters (Manbiki kazoku) (2018),Hirokazu Koreeda,121,
20180018,18,88%,Ant-Man and the Wasp (2018),Peyton Reed,118,
20180019,19,96%,The Death of Stalin (2018),Armando Iannucci,107,
20180020,20,91%,Crazy Rich Asians (2018),Jon M. Chu,120,
20180021,21,97%,The Hate U Give (2018),George Tillman Jr.,132,
20180022,22,91%,Phantom Thread (2018),Paul Thomas Anderson,130,
20180023,23,93%,Sorry to Bother You (2018),Boots Riley,105,
20180024,24,85%,Avengers: Infinity War (2018),Anthony Russo,156,
20180025,25,90%,Isle of Dogs (2018),Wes Anderson,101,
20180026,26,89%,I; Tonya (2018),Craig Gillespie,119,
20180027,27,88%,The Post (2018),Steven Spielberg,115,
20180028,28,86%,First Man (2018),Damien Chazelle,138,
20180029,29,89%,Hereditary (2018),Ari Aster,127,
20180030,30,93%,The Old Man & the Gun (2018),David Lowery,93,
20180031,31,100%,Minding the Gap (2018),Bing Liu,93,
20180032,32,97%,The Rider (2018),Chloe' Zhao,104,
20180033,33,97%,Three Identical Strangers (2018),Tim Wardle,96,
20180034,34,99%,McQueen (2018),Ian Bonh\xf4te,111,
20180035,35,94%,A Fantastic Woman (Una mujer fanta'stica) (2018),Sebastia'n Lelio,100,
20180036,36,100%,Summer 1993 (Estiu 1993) (2018),Carla Sim\xf3n,96,
20180037,37,93%,First Reformed (2018),Paul Schrader,108,
20180038,38,97%,Free Solo (2018),Elizabeth Chai Vasarhelyi; Jimmy Chin,97,
20180039,39,95%,Burning (Beoning) (2018),Chang-dong Lee,148,
20180040,40,92%,Searching (2018),Aneesh Chaganty,101,
20180041,41,94%,Wildlife (2018),Paul Dano,104,
20180042,42,92%,Cold War (Zimna wojna) (2018),Pawel Pawlikowski,89,
20180043,43,100%,Shirkers (2018),Sandi Tan,96,
20180044,44,84%,Deadpool 2 (2018),David Leitch,119,
20180045,45,99%,Tea With the Dames (Nothing Like a Dame) (2018),Roger Michell,94,
20180046,46,97%,Border (Gr\xe4ns) (2018),Ali Abbasi,110,
20180047,47,99%,The Tale (2018),Jennifer Fox,114,
20180048,48,94%,Loveless (Nelyubov) (2018),Andrey Zvyagintsev,129,
20180049,49,97%,The Guilty (Den skyldige) (2018),Gustav M\xf6ller,85,
20180050,50,88%,Annihilation (2018),Alex Garland,85,
20180051,51,100%,Hannah Gadsby: Nanette (2018),Madeleine Parry; Jon Olb,69,
20180052,52,100%,Night Comes On (2018),Jordana Spiro,87,
20180053,53,91%,Bumblebee (2018),Travis Knight,119,
20180054,54,94%,RBG (2018),Betsy West; Julie Cohen,96,
20180055,55,94%,Blindspotting (2018),Carlos Lopez Estrada,95,
20180056,56,89%,You Were Never Really Here (2018),Lynne Ramsay,89,
20180057,57,91%,Love; Simon (2018),Greg Berlanti,109,
20180058,58,91%,The Ballad of Buster Scruggs (2018),Joel Coen; Ethan Coen,132,
20180059,59,90%,Mandy (2018),Panos Cosmatos,120,
20180060,60,96%,Zama (2018),Lucrecia Martel,115,
20180061,61,98%,In Between (2018),Maysaloun Hamoud,96,
20180062,62,98%,The Cakemaker (2018),Ofir Raul Graizer,105,
20180063,63,94%,Foxtrot (2018),Samuel Maoz,114,
20180064,64,97%,Science Fair (2018),Cristina Costantini; Darren Foster,90,
20180065,65,88%,Ralph Breaks the Internet (2018),Phil Johnston; Rich Moore,114,
20180066,66,95%,Custody (Jusqu'a' la garde) (2018),Xavier Legrand,93,
20180067,67,98%,Oh Lucy! (2018),Atsuko Hirayanagi,96,
20180068,68,96%,Sweet Country (2018),Warwick Thornton,113,
20180069,69,97%,Hale County This Morning; This Evening (2018),RaMell Ross,76,
20180070,70,97%,To All the Boys I've Loved Before (2018),Susan Johnson,100,
20180071,71,98%,Ryuichi Sakamoto: Coda (2018), ,102,
20180072,72,98%,Marlina the Murderer in Four Acts (2018),Mouly Surya,93,
20180073,73,98%,Leaning Into the Wind (2018),Thomas Riedelsheimer,93,
20180074,74,97%,Pick of the Litter (2018),Dana Nachman; Don Hardy,81,
