movie_id,Title,Genre
20180082,Private Life (2018),Drama
20180083,Filmworker (2018),Art House & International
20180083,Filmworker (2018),Documentary
20180084,Beast (2018),Drama
20180085,American Animals (2018),Comedy
20180085,American Animals (2018),Mystery & Suspense
20180085,American Animals (2018),Drama
20180086,On Her Shoulders (2018),Documentary
20180087,Support the Girls (2018),Comedy
20180088,Dark Money (2018),Documentary
20180089,Revenge (2018),Action & Adventure
20180089,Revenge (2018),Mystery & Suspense
20180090,Hearts Beat Loud (2018),Drama
20180091,The Endless (2018),Horror
20180091,The Endless (2018),Mystery & Suspense
20180091,The Endless (2018),Science Fiction & Fantasy
20180092,Capernaum (Capharna\xfcm) (2018),Drama
20180093,Creed II (2018),Action & Adventure
20180093,Creed II (2018),Drama
20180093,Creed II (2018),Sports & Fitness
20180094,Bisbee '17 (2018),Documentary
20180094,Bisbee '17 (2018),Western
20180095,The Guardians (Les Gardiennes) (2018),Art House & International
20180095,The Guardians (Les Gardiennes) (2018),Drama
20180096,CAM (2018),Horror
20180096,CAM (2018),Mystery & Suspense
20180097,We the Animals (2018),Drama
20180098,Teen Titans Go! To the Movies (2018),Action & Adventure
20180098,Teen Titans Go! To the Movies (2018),Animation
20180098,Teen Titans Go! To the Movies (2018),Kids & Family
20180099,1985 (2018),Drama
20180100,Good Manners (As Boas Maneiras) (2018),Art House & International
20180100,Good Manners (As Boas Maneiras) (2018),Horror
20180100,Good Manners (As Boas Maneiras) (2018),Science Fiction & Fantasy
20190001,Parasite (Gisaengchung) (2019),Art House & International
20190001,Parasite (Gisaengchung) (2019),Drama
20190002,Avengers: Endgame (2019),Action & Adventure
20190002,Avengers: Endgame (2019),Science Fiction & Fantasy
20190002,Avengers: Endgame (2019),Drama
20190003,Us (2019),Horror
20190003,Us (2019),Mystery & Suspense
20190004,Knives Out (2019),Drama
20190004,Knives Out (2019),Mystery & Suspense
20190005,Toy Story 4 (2019),Animation
20190005,Toy Story 4 (2019),Comedy
20190005,Toy Story 4 (2019),Kids & Family
20190005,Toy Story 4 (2019),Science Fiction & Fantasy
20190006,The Irishman (2019),Drama
20190006,The Irishman (2019),Mystery & Suspense
20190007,Little Women (2019),Drama
20190008,Booksmart (2019),Comedy
20190009,The Farewell (2019),Drama
20190009,The Farewell (2019),Comedy
20190010,Marriage Story (2019),Drama
20190011,A Beautiful Day in the Neighborhood (2019),Drama
20190012,Spider-Man: Far From Home (2019),Action & Adventure
20190012,Spider-Man: Far From Home (2019),Science Fiction & Fantasy
